query	reference	seqid	len	mismatch	gap	query_start	query_end	target_start	target_end	eval	bitscore
ISPme1	lane122s000605_bin.3.p_NODE_931_length_2383_cov_3.607546_4	30.4	326	201	9	21	327	19	337	1.40E-24	107
ISPme1	lane122s000601_bin.10.s_NODE_63_length_18256_cov_3.611420_29	23.8	390	256	13	21	386	4	376	1.48E-18	90.1
ISPme1	lane122s000605_bin.3.p_NODE_57_length_7816_cov_2.034630_1	33.3	174	107	3	21	190	25	193	1.98E-17	84.3
ISPme1	lane121s003976_shovill_contig00001_396	24.3	445	260	14	20	426	9	414	3.79E-15	80.1
ISPme1	lane121s003977_shovill_contig00001_299	24.3	445	260	14	20	426	9	414	3.79E-15	80.1
ISPme1	lane122s000605_bin.3.p_NODE_1763_length_1387_cov_1.206107_1	30.2	291	177	10	155	424	62	347	6.50E-15	79
ISPme1	lane122s000601_bin.2.o_k141_267803-flag_1-multi_5.0000-len_2555_2	23.6	428	283	15	21	426	6	411	2.97E-14	77.4
ISPme1	lane122s000607_bin.1.p_NODE_3159_length_539_cov_1.452381_1	32.7	162	89	7	155	304	26	179	1.93E-11	65.5
ISPme1	lane122s000607_bin.1.p_NODE_2619_length_965_cov_3.009009_1	33.1	151	92	3	21	167	19	164	9.05E-11	63.2
ISPme1	lane122s000601_bin.6.o_k141_146575-flag_1-multi_3.0000-len_1777_1	24.6	439	254	18	24	417	35	441	6.88E-09	60.8
ISPme1	lane122s000607_bin.1.p_NODE_1582_length_1983_cov_1.692025_1	24.2	318	192	11	153	425	174	487	7.12E-09	60.8
ISPme1	lane122s000605_bin.3.p_NODE_135_length_5863_cov_3.535258_6	35	80	52	0	21	100	19	98	1.30E-07	53.9
ISPme1	lane122s000605_bin.3.p_NODE_1904_length_1089_cov_1.846838_1	32.6	141	90	3	287	424	40	178	3.29E-05	47.8
ISPme1	lane122s000607_bin.1.p_NODE_1741_length_1858_cov_1.268950_1	27.9	208	130	7	234	424	26	230	9.15E-05	47
IS200	lane121s003972_bin.2.s_NODE_6_length_12053_cov_3.093854_12	96.8	95	3	0	1	95	1	95	1.19E-64	194
IS200	lane122s000605_bin.3.p_NODE_999_length_2301_cov_1.737860_2	46.3	123	66	0	17	139	12	134	6.82E-33	115
IS200	lane122s000541_shovill_contig00015_50	34.9	126	81	1	15	140	6	130	3.10E-27	100
IS200	lane821s003035_bin.1.p_NODE_27_length_13964_cov_71.215237_14	34.9	126	81	1	15	140	6	130	3.10E-27	100
IS200	lane121s003978_shovill_contig00037_16	35.2	125	80	1	15	139	6	129	4.39E-27	100
IS200	lane121s003952_megahit_k141_34-flag=0-multi=239.6267-len=15506_12	35.2	125	80	1	15	139	6	129	6.22E-27	100
IS200	lane121s003965_shovill_contig00034_10	35.2	125	80	1	15	139	6	129	6.22E-27	100
IS200	lane122s000522_shovill_contig00013_131	35.2	125	80	1	15	139	6	129	6.22E-27	100
IS200	lane121s003979_bin.1.s_NODE_27_length_32207_cov_109.276315_4	34.4	125	81	1	15	139	6	129	8.80E-27	99.8
IS200	lane121s003980_megahit_k141_48-flag=0-multi=172.2531-len=14798_3	34.4	125	81	1	15	139	6	129	8.80E-27	99.8
IS200	lane122s000524_shovill_contig00021_3	35.2	125	80	1	15	139	6	129	8.80E-27	99.8
IS200	lane821s003037_bin.1.p_NODE_1_length_1559792_cov_424.645268_111	37.2	129	80	1	11	139	9	136	1.51E-26	99.4
IS200	lane821s003037_bin.1.p_NODE_1_length_1559792_cov_424.645268_194	37.2	129	80	1	11	139	9	136	1.51E-26	99.4
IS200	lane121s003952_megahit_k141_50-flag=0-multi=233.8518-len=19003_2	35.2	125	80	1	15	139	6	129	1.76E-26	99
IS200	lane121s003965_shovill_contig00026_11	35.2	125	80	1	15	139	6	129	1.76E-26	99
IS200	lane121s003968_megahit_k141_183-flag=0-multi=248.8004-len=29961_2	35.2	125	80	1	15	139	6	129	1.76E-26	99
IS200	lane122s000522_shovill_contig00013_155	35.2	125	80	1	15	139	6	129	1.76E-26	99
IS200	lane121s003968_megahit_k141_171-flag=0-multi=343.0911-len=9896_2	34.4	125	81	1	15	139	6	129	5.00E-26	97.8
IS200	lane122s000541_shovill_contig00011_51	34.4	125	81	1	15	139	6	129	5.00E-26	97.8
IS200	lane121s003978_shovill_contig00053_3	34.4	125	81	1	15	139	6	129	1.00E-25	97.1
IS200	lane121s003952_megahit_k141_175-flag=0-multi=233.9605-len=199340_1	36.2	130	82	1	10	139	3	131	1.50E-25	96.7
IS200	lane121s003965_shovill_contig00008_179	36.2	130	82	1	10	139	3	131	1.50E-25	96.7
IS200	lane121s003968_megahit_k141_38-flag=0-multi=252.0980-len=494778_16	36.2	130	82	1	10	139	3	131	1.50E-25	96.7
IS200	lane121s003971_bin.1.s_NODE_1_length_1525267_cov_97.535093_469	36.2	130	82	1	10	139	3	131	1.50E-25	96.7
IS200	lane122s000538_bin.1.p_NODE_5_length_388654_cov_122.956783_211	36.2	130	82	1	10	139	3	131	1.50E-25	96.7
IS200	lane122s000522_shovill_contig00013_116	33.6	125	82	1	15	139	6	129	8.04E-25	94.7
IS200	lane122s000521_bin.1.s_NODE_3_length_441770_cov_111.483598_29	33.6	125	82	1	15	139	6	129	8.48E-25	94.7
IS200	lane122s000521_bin.1.s_NODE_25_length_59885_cov_142.921415_6	34.4	125	81	1	15	139	13	136	9.70E-25	94.7
IS200	lane122s000607_bin.1.p_NODE_3090_length_560_cov_1.556936_1	33.1	130	86	1	10	139	2	130	1.17E-24	94.4
IS200	lane121s003976_shovill_contig00015_88	32.1	131	88	1	10	140	2	131	3.31E-24	93.2
IS200	lane121s003977_shovill_contig00015_1	32.1	131	88	1	10	140	2	131	3.31E-24	93.2
IS200	lane122s000607_bin.1.p_NODE_181_length_5897_cov_2.374742_4	31.7	139	93	2	3	140	8	145	3.58E-23	91.3
IS200	lane122s000605_bin.3.p_NODE_1690_length_1506_cov_1.307208_2	36.9	122	74	1	19	140	15	133	5.58E-23	90.1
IS200	lane122s000521_bin.1.s_NODE_25_length_59885_cov_142.921415_29	32.1	134	86	2	11	143	3	132	1.03E-22	89.4
IS200	lane122s000522_shovill_contig00013_1	34.2	114	74	1	15	128	6	118	7.81E-22	86.7
IS200	lane122s000522_shovill_contig00028_4	33.3	114	75	1	15	128	6	118	6.25E-21	84.3
IS200	lane121s003979_bin.1.s_NODE_27_length_32207_cov_109.276315_10	30.6	134	88	2	11	143	3	132	6.55E-21	84.7
IS200	lane121s003980_megahit_k141_48-flag=0-multi=172.2531-len=14798_9	30.6	134	88	2	11	143	3	132	6.55E-21	84.7
IS200	lane122s000521_bin.1.s_NODE_5_length_284502_cov_90.613058_127	29.9	134	89	2	11	143	4	133	2.13E-19	80.9
IS200	lane122s000544_bin.1.s_NODE_109_length_530_cov_11.344371_1	36.7	90	57	0	15	104	6	95	7.00E-19	78.6
IS200	lane122s000538_bin.1.p_NODE_164_length_685_cov_0.930921_2	30.6	134	88	2	11	143	4	133	1.28E-18	79
IS200	lane122s000538_bin.1.p_NODE_150_length_754_cov_27.203840_1	35.6	90	58	0	15	104	6	95	1.98E-18	77.4
IS200	lane121s003976_shovill_contig00126_1	32.5	114	76	1	12	125	4	116	1.69E-17	75.5
IS200	lane121s003977_shovill_contig00128_1	32.5	114	76	1	12	125	4	116	1.69E-17	75.5
IS200	lane121s003958_shovill_contig00018_50	29.4	126	86	1	15	140	8	130	1.83E-17	75.9
IS200	lane122s000538_bin.1.p_NODE_52_length_1907_cov_28.192350_3	35.6	90	58	0	15	104	6	95	3.15E-17	74.3
IS200	lane122s000605_bin.3.p_NODE_1229_length_1994_cov_1.617110_3	64.6	48	17	0	11	58	6	53	2.48E-15	68.2
IS200	lane121s003968_megahit_k141_138-flag=0-multi=250.5092-len=12367_1	36.6	82	52	0	15	96	6	87	4.02E-15	68.6
IS200	lane121s003968_megahit_k141_60-flag=0-multi=257.3493-len=9620_11	36.6	82	52	0	15	96	6	87	4.02E-15	68.6
IS200	lane122s000607_bin.1.p_NODE_1095_length_2507_cov_1.378189_4	28.2	131	92	2	13	142	4	133	4.25E-15	70.1
IS200	lane121s003976_shovill_contig00066_2	29.7	111	77	1	13	123	5	114	1.23E-14	68.2
IS200	lane121s003977_shovill_contig00047_2	29.7	111	77	1	13	123	5	114	1.23E-14	68.2
IS200	lane122s000522_shovill_contig00004_152	31.9	91	61	1	49	139	9	98	1.23E-14	67.8
IS200	lane122s000532_bin.1.p_NODE_2_length_1413223_cov_135.813849_148	31.9	91	61	1	49	139	9	98	1.23E-14	67.8
IS200	lane122s000541_shovill_contig00003_761	31.9	91	61	1	49	139	9	98	1.74E-14	67.4
IS200	lane122s000544_bin.1.s_NODE_9_length_161662_cov_121.311879_131	30.4	115	78	2	25	139	16	128	1.77E-14	68.9
IS200	lane121s003971_bin.1.s_NODE_74_length_1084_cov_9.168818_1	32.3	93	62	1	11	102	4	96	1.80E-12	62
IS200	lane122s000601_bin.2.o_k141_288545-flag_1-multi_3.0000-len_1624_2	27.5	120	79	2	22	140	8	120	3.21E-12	62.8
IS200	lane121s003976_shovill_contig00183_1	36.1	72	45	1	52	123	1	71	5.69E-12	60.1
IS200	lane121s003977_shovill_contig00207_1	36.1	72	45	1	52	123	1	71	5.69E-12	60.1
IS200	lane122s000601_bin.10.s_NODE_300_length_845_cov_2.204427_2	28.1	128	80	4	15	140	2	119	2.34E-10	57.8
IS200	lane122s000600_bin.5.s_NODE_582_length_1887_cov_1.302210_1	26.7	120	80	2	22	140	8	120	5.85E-10	56.6
IS200	lane821s003037_bin.1.p_NODE_34_length_18167_cov_15.432836_3	31.7	82	54	2	59	140	7	86	6.14E-10	55.8
IS200	lane122s000605_bin.2.o_k141_260757-flag_1-multi_5.0000-len_2725_1	24.6	118	83	1	24	141	10	121	1.42E-09	55.8
IS200	lane122s000601_bin.10.s_NODE_26_length_28237_cov_2.629119_23	27	126	84	3	15	140	2	119	4.78E-09	54.3
IS200	lane122s000607_bin.1.p_NODE_2872_length_672_cov_2.280672_2	31.3	83	57	0	17	99	9	91	5.82E-09	52.8
IS200	lane122s000605_bin.2.o_k141_361778-flag_1-multi_5.0000-len_7234_3	25	120	83	3	22	140	8	121	9.81E-09	53.5
IS200	lane821s003035_bin.1.p_NODE_45_length_6099_cov_95.143308_6	30.4	69	48	0	36	104	1	69	1.28E-08	51.6
IS200	lane122s000605_bin.2.o_k141_164431-flag_1-multi_6.0000-len_10235_1	32.9	79	46	1	62	140	50	121	1.55E-06	47.8
IS200	lane122s000601_bin.2.o_k141_638386-flag_1-multi_2.0000-len_1275_2	23.5	119	85	2	22	140	8	120	2.01E-06	47.4
IS200	lane122s000601_bin.10.s_NODE_203_length_6552_cov_2.550579_2	21	119	88	2	22	140	8	120	3.87E-06	46.6
IS200	lane122s000603_bin.2.s_NODE_27_length_16554_cov_2.453723_4	26.5	117	80	2	24	140	11	121	1.00E-05	45.4
IS200	lane121s003976_shovill_contig00194_1	37.3	51	31	1	89	139	1	50	1.47E-05	43.1
IS200	lane121s003977_shovill_contig00137_1	37.3	51	31	1	89	139	1	50	1.47E-05	43.1
IS200	lane122s000605_bin.3.p_NODE_902_length_2432_cov_2.166454_2	35.6	59	38	0	25	83	17	75	1.88E-05	43.5
IS200	lane122s000601_bin.10.s_NODE_42_length_23634_cov_2.231481_8	22.4	116	84	1	24	139	10	119	2.74E-05	44.3
IS200	lane121s003976_shovill_contig00139_1	37.3	51	31	1	89	139	1	50	4.03E-05	42
IS200	lane121s003977_shovill_contig00181_1	37.3	51	31	1	89	139	1	50	4.03E-05	42
IS200	lane122s000522_shovill_contig00051_2	34.7	49	31	1	91	139	1	48	4.34E-05	41.6
IS200	lane121s003952_megahit_k141_2-flag=0-multi=218.1195-len=69921_79	34	50	33	0	15	64	6	55	1.08E-04	40.8
IS200	lane121s003965_shovill_contig00033_4	34	50	33	0	15	64	6	55	1.08E-04	40.8
ISBlo15	lane821s003043_bin.1.s_NODE_1_length_1164026_cov_983.242877_169	35.7	263	135	11	178	428	246	486	3.20E-26	114
ISBlo15	lane122s000602_bin.1.o_k141_677343-flag_1-multi_13.0000-len_131524_93	34.9	235	121	6	204	432	180	388	6.17E-25	108
ISBlo15	lane122s000602_bin.1.o_k141_677343-flag_1-multi_13.0000-len_131524_190	31.8	239	132	7	199	430	170	384	6.14E-23	103
ISBlo15	lane122s000605_bin.3.p_NODE_2060_length_733_cov_0.967988_1	32.4	241	141	6	191	431	13	231	2.05E-19	90.1
ISBlo15	lane122s000605_bin.3.p_NODE_1229_length_1994_cov_1.617110_2	32.5	157	99	3	275	431	223	372	7.85E-13	72.8
ISBlo15	lane122s000602_bin.1.o_k141_81638-flag_0-multi_8.9151-len_40077_20	26.2	366	195	13	75	429	83	384	2.22E-12	71.6
ISBlo15	lane122s000603_bin.1.o_k141_274530-flag_1-multi_6.0000-len_18588_16	29.5	227	119	8	205	431	202	387	2.70E-11	68.2
ISBlo15	lane121s003958_shovill_contig00018_51	27.9	215	117	6	217	430	171	348	3.73E-11	67.4
ISBlo15	lane122s000541_shovill_contig00023_53	40.7	81	47	1	365	445	347	426	4.04E-10	64.7
ISBlo15	lane122s000605_bin.3.p_NODE_117_length_6187_cov_2.081833_7	50	64	31	1	367	430	295	357	5.98E-10	63.9
ISBlo15	lane122s000607_bin.1.p_NODE_1484_length_2069_cov_2.186747_1	50	64	31	1	367	430	295	357	5.98E-10	63.9
ISBlo15	lane122s000530_shovill_contig00008_113	24	233	137	6	212	436	180	380	1.42E-09	62.8
ISBlo15	lane122s000530_shovill_contig00002_135	23.7	224	132	5	212	427	180	372	2.51E-09	62
ISBlo15	lane122s000602_bin.1.o_k141_76821-flag_0-multi_8.9967-len_28843_18	33.8	133	80	2	341	468	2	131	4.05E-09	58.2
ISBlo15	lane122s000605_bin.3.p_NODE_466_length_3679_cov_2.299833_2	51	51	25	0	382	432	298	348	7.00E-08	57.4
ISBlo15	lane122s000530_shovill_contig00009_15	24.1	228	126	7	212	427	179	371	1.01E-07	57
ISBlo15	lane821s003037_bin.1.p_NODE_1_length_1559792_cov_424.645268_112	22.4	228	134	4	205	429	167	354	1.20E-07	56.6
ISBlo15	lane821s003037_bin.1.p_NODE_1_length_1559792_cov_424.645268_195	22.4	228	134	4	205	429	167	354	1.20E-07	56.6
ISBlo15	lane122s000521_bin.1.s_NODE_3_length_441770_cov_111.483598_28	24.9	217	122	6	217	429	180	359	1.62E-07	56.2
ISBlo15	lane121s003968_megahit_k141_166-flag=0-multi=395.8298-len=55847_42	28.3	152	86	4	284	435	248	376	1.73E-07	56.2
ISBlo15	lane122s000522_shovill_contig00019_18	28.3	152	86	4	284	435	248	376	1.73E-07	56.2
ISBlo15	lane122s000541_shovill_contig00003_762	24.9	217	122	6	217	429	180	359	2.16E-07	55.8
ISBlo15	lane121s003978_shovill_contig00012_21	24.4	160	92	5	284	438	234	369	2.25E-07	55.8
ISBlo15	lane121s003976_shovill_contig00116_1	23	222	134	5	212	431	9	195	3.67E-07	53.5
ISBlo15	lane121s003977_shovill_contig00116_1	23	222	134	5	212	431	9	195	3.67E-07	53.5
ISBlo15	lane122s000537_shovill_contig00011_17	41.6	77	42	3	367	441	230	305	3.94E-07	54.7
ISBlo15	lane122s000521_bin.2.p_NODE_31_length_29940_cov_11.044168_32	39	77	45	2	351	427	408	482	7.16E-07	54.7
ISBlo15	lane122s000521_bin.1.s_NODE_6_length_283927_cov_100.178531_266	23.1	160	94	5	284	438	234	369	2.18E-06	52.8
ISBlo15	lane122s000530_shovill_contig00004_41	23.2	224	133	6	212	427	179	371	3.00E-06	52.4
ISBlo15	lane121s003968_megahit_k141_45-flag=0-multi=311.6255-len=15337_7	21.6	153	98	2	284	435	234	365	8.91E-06	50.8
ISBlo15	lane122s000522_shovill_contig00015_9	21.6	153	98	2	284	435	234	365	8.91E-06	50.8
ISBlo15	lane121s003978_shovill_contig00037_8	21.6	153	98	2	284	435	239	370	9.02E-06	50.8
ISBlo15	lane122s000521_bin.1.s_NODE_22_length_68890_cov_92.381919_60	21.1	232	134	5	212	435	175	365	1.18E-05	50.4
ISBlo15	lane122s000522_shovill_contig00021_8	21.2	226	141	6	212	435	180	370	1.20E-05	50.4
ISBlo15	lane122s000541_shovill_contig00062_1	21.2	226	141	6	212	435	90	280	1.52E-05	49.7
ISBlo15	lane821s003035_bin.1.p_NODE_72_length_1162_cov_36.037788_1	21.2	226	141	6	212	435	163	353	2.02E-05	49.7
ISBlo15	lane122s000522_shovill_contig00013_5	20.6	228	140	6	212	435	175	365	2.08E-05	49.7
ISBlo15	lane121s003952_megahit_k141_55-flag=0-multi=375.7879-len=21357_23	23.6	140	83	3	298	435	5	122	2.74E-05	46.6
ISBlo15	lane122s000524_shovill_contig00006_184	21.7	226	140	6	212	435	14	204	3.69E-05	47.8
ISBlo15	lane122s000524_shovill_contig00013_49	22.1	154	96	3	284	435	229	360	4.79E-05	48.5
ISBlo15	lane121s003965_shovill_contig00029_3	21.2	226	141	6	212	435	175	365	4.85E-05	48.5
ISBlo15	lane122s000524_shovill_contig00006_250	21.7	226	140	6	212	435	175	365	4.85E-05	48.5
ISBlo15	lane122s000538_bin.1.p_NODE_6_length_367413_cov_147.027620_3	21.2	226	141	6	212	435	175	365	4.85E-05	48.5
ISBlo15	lane122s000538_bin.1.p_NODE_20_length_56722_cov_154.885391_20	21.2	226	141	6	212	435	175	365	4.85E-05	48.5
ISBlo15	lane121s003971_bin.1.s_NODE_1_length_1525267_cov_97.535093_512	22.6	155	92	3	285	435	179	309	5.45E-05	48.1
ISBlo15	lane121s003952_megahit_k141_156-flag=0-multi=345.7294-len=20603_15	21.2	226	141	6	212	435	175	365	6.43E-05	48.1
ISBlo15	lane121s003965_shovill_contig00069_1	21.2	226	141	6	212	435	175	365	6.43E-05	48.1
ISBlo15	lane121s003980_megahit_k141_132-flag=0-multi=153.6780-len=8219_7	22	232	132	7	212	435	175	365	8.52E-05	47.8
ISBlo15	lane122s000521_bin.1.s_NODE_24_length_66400_cov_127.865311_25	21.7	226	140	6	212	435	175	365	8.52E-05	47.8
ISBlo15	lane121s003978_shovill_contig00027_44	20.5	229	141	5	211	435	176	367	8.56E-05	47.8
ISBlo15	lane121s003965_shovill_contig00065_2	20.8	226	142	6	212	435	91	281	8.59E-05	47.4
ISBlo15	lane121s003979_bin.1.s_NODE_28_length_31201_cov_104.976867_34	22	232	132	7	212	435	180	370	8.62E-05	47.8
ISBlo15	lane122s000521_bin.1.s_NODE_21_length_79364_cov_90.078992_66	21.7	226	140	6	212	435	175	365	8.71E-05	47.8
ISBlo15	lane821s003035_bin.1.p_NODE_10_length_64715_cov_2005.640382_1	24.1	228	137	7	208	435	29	220	9.97E-05	46.6
ISBlo15	lane121s003952_megahit_k141_94-flag=0-multi=229.0932-len=421713_359	25	236	130	10	208	438	176	369	1.49E-04	47
ISBlo15	lane121s003965_shovill_contig00002_691	25	236	130	10	208	438	176	369	1.49E-04	47
ISBlo15	lane122s000538_bin.1.p_NODE_14_length_147494_cov_164.393510_48	25	236	130	10	208	438	176	369	1.49E-04	47
ISBlo15	lane122s000521_bin.1.s_NODE_25_length_59885_cov_142.921415_5	25.8	229	132	10	208	435	176	367	1.97E-04	46.6
ISBlo15	lane122s000541_shovill_contig00015_49	24.1	228	137	7	208	435	176	367	1.97E-04	46.6
ISBlo15	lane121s003971_bin.1.s_NODE_1_length_1525267_cov_97.535093_1441	23.5	153	93	3	285	435	234	364	1.98E-04	46.6
ISBlo15	lane122s000521_bin.1.s_NODE_5_length_284502_cov_90.613058_126	21.2	226	141	6	212	435	175	365	1.98E-04	46.6
ISBlo15	lane821s003035_bin.1.p_NODE_1_length_1547047_cov_986.860280_7	23.9	230	129	9	208	432	176	364	2.61E-04	46.2
ISBlo15	lane122s000532_bin.1.p_NODE_18_length_2679_cov_9.553805_2	25	228	135	7	208	435	176	367	3.46E-04	45.8
ISBlo15	lane122s000541_shovill_contig00021_32	23.1	229	138	8	208	435	176	367	3.46E-04	45.8
ISBlo15	lane122s000544_bin.1.s_NODE_1_length_2128098_cov_95.834538_26	23.1	229	138	8	208	435	176	367	3.46E-04	45.8
ISBlo15	lane821s003040_bin.1.o_k141_93-flag_0-multi_827.7126-len_178939_146	23.9	134	70	4	298	427	7	112	4.23E-04	43.1
ISBlo15	lane121s003979_bin.1.s_NODE_27_length_32207_cov_109.276315_5	25.2	230	132	10	208	435	176	367	4.59E-04	45.4
ISBlo15	lane121s003980_megahit_k141_48-flag=0-multi=172.2531-len=14798_4	25.2	230	132	10	208	435	176	367	4.59E-04	45.4
ISBlo15	lane121s003978_shovill_contig00037_15	24.5	229	135	9	208	435	176	367	6.08E-04	45.1
ISBlo15	lane122s000522_shovill_contig00013_115	24.9	229	134	9	208	435	176	367	8.06E-04	44.7
ISBlo15	lane122s000524_shovill_contig00021_4	23.1	229	138	8	208	435	176	367	8.06E-04	44.7
ISVch3	lane122s000607_bin.1.p_NODE_388_length_4429_cov_3.072840_2	45.2	516	274	5	1	510	1	513	6.60E-148	436
ISVch3	lane122s000607_bin.1.p_NODE_2140_length_1545_cov_2.756812_1	46.1	492	257	4	1	487	1	489	3.05E-146	431
ISVch3	lane122s000605_bin.3.p_NODE_194_length_5206_cov_2.378046_5	44.1	513	282	4	1	509	1	512	1.42E-141	420
ISVch3	lane122s000607_bin.1.p_NODE_1126_length_2463_cov_2.224225_2	43.5	513	285	4	1	509	1	512	6.88E-139	413
ISVch3	lane122s000536_megahit_k141_44-flag=0-multi=194.9695-len=152633_93	42.1	522	286	5	1	510	1	518	4.28E-137	408
ISVch3	lane122s000605_bin.3.p_NODE_1358_length_1873_cov_2.682071_1	46.7	424	223	3	89	510	2	424	4.69E-128	382
ISVch3	lane122s000601_bin.1.o_k141_361387-flag_1-multi_4.0000-len_4154_3	41.8	526	279	8	5	505	4	527	1.08E-125	380
ISVch3	lane122s000536_megahit_k141_71-flag=0-multi=497.2913-len=2348_2	42.2	505	284	5	8	509	1	500	3.86E-125	377
ISVch3	lane122s000521_bin.2.p_NODE_16_length_118837_cov_11.387715_103	39	513	305	6	2	510	3	511	2.37E-123	373
ISVch3	lane122s000607_bin.1.p_NODE_1982_length_1676_cov_2.801126_2	46.2	416	221	3	96	509	1	415	1.53E-121	365
ISVch3	lane122s000601_bin.1.o_k141_461511-flag_0-multi_13.0000-len_2952_2	37.2	521	312	7	1	510	1	517	1.97E-108	335
ISVch3	lane122s000600_bin.3.p_NODE_101_length_6716_cov_5.210122_9	43.7	371	202	3	5	369	4	373	2.93E-95	296
ISVch3	lane122s000600_bin.4.o_k141_357847-flag_1-multi_8.0000-len_4713_5	33.7	507	319	7	8	509	1	495	1.12E-78	257
ISVch3	lane122s000601_bin.4.o_k141_656911-flag_1-multi_6.0000-len_12943_5	33.8	479	302	6	8	480	1	470	2.03E-74	246
ISVch3	lane122s000600_bin.3.p_NODE_353_length_2823_cov_3.695921_1	32.9	519	331	8	1	509	1	512	6.66E-74	245
ISVch3	lane122s000540_bin.1.p_NODE_121_length_14054_cov_16.919439_1	44.7	264	144	2	1	262	1	264	5.52E-63	210
ISVch3	lane122s000527_megahit_k141_37-flag=1-multi=194.0000-len=181245_9	29.7	482	328	8	24	499	16	492	2.85E-52	187
ISVch3	lane122s000607_bin.1.p_NODE_2706_length_851_cov_3.236434_1	40.7	231	134	2	1	229	1	230	2.83E-50	174
ISVch3	lane122s000540_bin.1.p_NODE_16_length_120641_cov_15.527181_102	40.8	213	120	3	1	212	1	208	1.17E-41	150
ISVch3	lane122s000607_bin.3.o_k141_606982-flag_1-multi_1.8649-len_1918_1	31.2	365	232	10	140	496	37	390	1.35E-35	140
ISVch3	lane122s000606_bin.3.o_k141_424232-flag_0-multi_4.0000-len_2194_2	31	365	234	9	140	496	125	479	1.91E-35	141
ISVch3	lane122s000521_bin.2.p_NODE_6_length_288160_cov_12.578424_126	35.4	192	122	2	321	510	1	192	6.81E-34	129
ISVch3	lane122s000600_bin.4.o_k141_100998-flag_1-multi_2.3717-len_1755_2	29.2	359	222	11	122	461	21	366	1.23E-26	114
ISVch3	lane122s000601_bin.1.o_k141_118245-flag_1-multi_2.0000-len_2692_1	27.9	362	230	13	122	465	111	459	3.64E-23	105
ISVch3	lane122s000600_bin.3.p_NODE_101_length_6716_cov_5.210122_4	40.9	137	74	4	375	505	21	156	3.85E-21	93.2
ISVch3	lane122s000607_bin.1.p_NODE_970_length_2706_cov_2.294789_3	27.5	324	221	7	163	481	136	450	5.25E-21	98.6
ISVch3	lane122s000607_bin.1.p_NODE_237_length_5286_cov_4.213093_4	25.5	321	231	4	163	481	136	450	9.16E-21	98.2
ISVch3	lane122s000607_bin.1.p_NODE_616_length_3553_cov_3.020138_2	26	323	227	6	163	481	37	351	1.13E-19	94
ISVch3	lane122s000605_bin.3.p_NODE_57_length_7816_cov_2.034630_6	26.5	321	228	4	163	481	136	450	1.61E-19	94.4
ISVch3	lane122s000601_bin.1.o_k141_21327-flag_1-multi_3.0000-len_2373_2	28.7	261	174	4	163	416	140	395	1.26E-17	88.6
ISVch3	lane122s000607_bin.1.p_NODE_436_length_4236_cov_2.366434_3	24.6	321	234	4	163	481	56	370	1.05E-16	85.1
ISVch3	lane122s000540_bin.1.p_NODE_77_length_31333_cov_16.431085_38	32.4	142	83	3	122	251	128	268	2.62E-12	70.1
ISVch3	lane121s003953_shovill_contig00013_18	24.8	246	164	5	142	384	158	385	3.43E-12	72
ISVch3	lane821s003041_shovill_contig00014_18	24.8	246	164	5	142	384	158	385	3.43E-12	72
ISVch3	lane122s000607_bin.1.p_NODE_415_length_4312_cov_3.619599_1	50	54	26	1	391	443	1	54	5.29E-12	63.5
ISVch3	lane122s000602_bin.1.o_k141_376401-flag_1-multi_9.0000-len_2898_2	26.9	212	137	6	185	384	158	363	3.48E-09	62
ISVch3	lane121s003960_shovill_contig00094_2	27.1	229	153	7	160	381	162	383	5.77E-09	61.2
ISVch3	lane821s003044_shovill_contig00050_35	23.4	320	231	8	70	382	47	359	1.69E-07	56.6
ISVch3	lane122s000523_bin.1.p_NODE_52_length_34952_cov_104.655369_35	23.4	320	231	8	70	382	92	404	1.85E-07	56.6
ISVch3	lane121s003995_shovill_contig00050_2	23.1	234	170	5	167	396	137	364	2.17E-07	56.2
ISVch3	lane122s000521_bin.2.p_NODE_8_length_257819_cov_11.309069_61	22.3	233	173	4	167	396	78	305	2.38E-07	55.8
ISVch3	lane122s000605_bin.2.o_k141_294061-flag_0-multi_6.9615-len_19307_1	24.7	223	164	3	163	384	144	363	1.60E-06	53.5
ISVch3	lane122s000520_bin.1.p_NODE_5_length_188628_cov_32.334965_2	26.4	227	159	6	160	383	141	362	5.57E-06	52
ISVch3	lane121s003995_shovill_contig00055_1	26.2	233	150	7	161	383	146	366	1.70E-05	50.4
ISVch3	lane122s000601_bin.6.o_k141_45318-flag_1-multi_3.0000-len_2859_2	24.9	358	234	15	125	466	109	447	5.12E-05	48.9
ISVch3	lane122s000605_bin.3.p_NODE_1516_length_1712_cov_1.070948_1	19	247	180	4	229	459	1	243	5.46E-05	48.1
ISVch3	lane122s000600_bin.2.o_k141_535101-flag_1-multi_2.0000-len_2054_2	28.1	167	106	6	125	284	109	268	1.56E-04	47.4
ISVch3	lane122s000602_bin.1.o_k141_758326-flag_1-multi_8.0000-len_4522_4	25.9	255	175	6	135	383	133	379	2.14E-04	47
ISVch3	lane122s000535_bin.1.p_NODE_10_length_152775_cov_135.853921_26	25.7	269	185	9	135	396	129	389	3.76E-04	46.2
ISVch3	lane122s000602_bin.1.o_k141_644751-flag_1-multi_7.0000-len_2163_2	24	258	177	8	134	383	110	356	4.25E-04	45.8
