seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
lane122s000524_shovill_contig00013	135154	No terminal repeats	127	11	0.9989	0.0010	0	19.4663	NA	NF000493
lane121s003962_megahit_k141_1719-flag=1-multi=5.0000-len=14115	14115	No terminal repeats	16	11	0.9989	0.0010	0	7.8204	NA	NA
lane121s003952_megahit_k141_50-flag=0-multi=233.8518-len=19003	19003	No terminal repeats	28	11	0.9989	0.0010	0	1.1301	NA	NA
lane821s003035_bin.1.p_NODE_20_length_24274_cov_77.924908	24274	No terminal repeats	23	11	0.9989	0.0010	0	8.1660	NA	NA
lane122s000521_bin.2.p_NODE_19_length_97239_cov_11.738653	97239	No terminal repeats	94	11	0.9989	0.0010	0	1.3945	NA	NA
lane122s000529_megahit_k141_116-flag=1-multi=6.9948-len=14008	14008	No terminal repeats	16	11	0.9989	0.0010	0	4.0496	NA	NA
lane122s000538_bin.1.p_NODE_39_length_3288_cov_18.522890	3288	No terminal repeats	6	11	0.9989	0.0010	0	0.2194	NA	NA
lane122s000541_shovill_contig00015	117319	No terminal repeats	96	11	0.9989	0.0010	0	7.4866	NA	NA
lane122s000606_bin.2.s_NODE_518_length_2730_cov_0.781757	2730	No terminal repeats	7	11	0.9989	0.0010	0	2.4083	NA	NA
lane122s000530_shovill_contig00036	3549	No terminal repeats	5	11	0.9989	0.0010	0	2.0135	NA	NA
lane122s000606_bin.3.o_k141_50438-flag_1-multi_5.0000-len_2777	2777	No terminal repeats	2	11	0.9989	0.0010	0	3.2904	NA	NA
lane121s003972_bin.2.s_NODE_110_length_5303_cov_3.485075	5303	No terminal repeats	6	11	0.9989	0.0010	0	2.5093	NA	NA
lane122s000521_bin.1.s_NODE_31_length_27937_cov_140.239591	27937	No terminal repeats	32	11	0.9989	0.0010	0	10.5255	NA	NA
lane821s003035_bin.1.p_NODE_10_length_64715_cov_2005.640382	64715	No terminal repeats	61	11	0.9989	0.0010	0	11.3405	NA	NA
lane122s000519_bin.3.s_NODE_7_length_249673_cov_62.554416	249673	No terminal repeats	231	11	0.9989	0.0010	2	22.8338	NA	NF000272;NF033117
lane121s003971_bin.1.s_NODE_19_length_17444_cov_100.690332	17444	No terminal repeats	25	11	0.9989	0.0010	0	2.2897	NA	NA
lane122s000521_bin.1.s_NODE_29_length_43632_cov_144.572173	43632	No terminal repeats	54	11	0.9989	0.0010	0	8.6351	NA	NA
lane121s003962_megahit_k141_1624-flag=1-multi=4.9596-len=7522	7522	No terminal repeats	11	11	0.9989	0.0010	0	2.0383	NA	NA
lane121s003980_megahit_k141_149-flag=0-multi=169.8264-len=23499	23499	No terminal repeats	26	11	0.9989	0.0010	0	5.0807	NA	NA
lane121s003979_bin.1.s_NODE_28_length_31201_cov_104.976867	31201	No terminal repeats	38	11	0.9988	0.0010	0	3.6843	NA	NA
lane122s000607_bin.1.p_NODE_886_length_2868_cov_2.288427	2868	No terminal repeats	4	11	0.9988	0.0010	0	1.7183	NA	NA
lane121s003962_megahit_k141_559-flag=1-multi=6.0000-len=14482	14482	No terminal repeats	13	11	0.9988	0.0010	0	3.7414	NA	NA
lane121s003968_megahit_k141_60-flag=0-multi=257.3493-len=9620	9620	No terminal repeats	11	11	0.9988	0.0010	0	4.7655	NA	NA
lane122s000523_bin.1.p_NODE_71_length_13965_cov_111.214358	13965	No terminal repeats	18	11	0.9988	0.0010	0	2.5934	NA	NF012174
lane122s000538_bin.1.p_NODE_16_length_75878_cov_102.789871	75878	No terminal repeats	78	11	0.9988	0.0010	0	3.2738	NA	NF033117
lane821s003042_shovill_contig00013	9311	No terminal repeats	12	11	0.9988	0.0010	0	1.4709	NA	NA
lane821s003044_shovill_contig00046	41306	No terminal repeats	40	11	0.9988	0.0010	0	10.0830	NA	NA
lane121s003971_bin.1.s_NODE_21_length_15228_cov_103.728335	15228	No terminal repeats	16	11	0.9988	0.0010	0	2.0650	NA	NA
lane121s003964_megahit_k141_13-flag=0-multi=1025.3296-len=9371	9371	No terminal repeats	12	11	0.9988	0.0010	0	1.4709	NA	NA
lane821s003035_bin.1.p_NODE_47_length_5994_cov_172.744127	5994	No terminal repeats	5	11	0.9988	0.0010	0	0.4449	NA	NA
lane122s000523_bin.1.p_NODE_22_length_93060_cov_114.457320	93060	No terminal repeats	92	11	0.9988	0.0010	0	10.1684	NA	NF012174
lane122s000521_bin.1.s_NODE_5_length_284502_cov_90.613058	284502	No terminal repeats	237	11	0.9988	0.0010	0	10.7425	NA	NF033105;NF000456
lane122s000521_bin.1.s_NODE_21_length_79364_cov_90.078992	79364	No terminal repeats	68	11	0.9988	0.0010	0	16.8616	NA	NA
lane122s000517_bin.2.s_NODE_15_length_84512_cov_72.753017	84512	No terminal repeats	85	11	0.9988	0.0010	0	7.2303	NA	NA
lane121s003962_megahit_k141_155-flag=1-multi=7.0000-len=9586	9586	No terminal repeats	12	11	0.9988	0.0010	0	6.6357	NA	NA
lane121s003980_megahit_k141_148-flag=0-multi=137.3722-len=5378	5378	No terminal repeats	10	11	0.9988	0.0010	0	3.0117	NA	NA
lane122s000523_bin.1.p_NODE_38_length_48117_cov_112.774875	48117	No terminal repeats	58	11	0.9988	0.0010	4	5.5814	MOBQ	NA
lane121s003962_megahit_k141_563-flag=1-multi=5.0000-len=2622	2622	No terminal repeats	5	11	0.9988	0.0010	0	1.2993	NA	NA
lane121s003972_bin.2.s_NODE_89_length_5598_cov_2.672885	5598	No terminal repeats	5	11	0.9988	0.0010	0	2.5093	NA	NA
lane821s003044_shovill_contig00009	218495	No terminal repeats	210	11	0.9988	0.0010	0	15.1152	NA	NF000496;NF012174;NF012174
lane122s000523_bin.1.p_NODE_68_length_16418_cov_99.706811	16418	No terminal repeats	20	11	0.9988	0.0010	0	5.0566	NA	NA
lane122s000541_shovill_contig00012	142917	No terminal repeats	106	11	0.9988	0.0010	0	12.0488	NA	NA
lane122s000538_bin.1.p_NODE_37_length_4141_cov_59.343012	4141	No terminal repeats	6	11	0.9988	0.0010	0	2.3429	NA	NA
lane122s000523_bin.1.p_NODE_43_length_44251_cov_102.659528	44251	No terminal repeats	41	11	0.9988	0.0010	0	4.0506	NA	NA
lane122s000600_bin.2.o_k141_338534-flag_1-multi_4.0000-len_3921	3921	No terminal repeats	6	11	0.9988	0.0010	0	0.4065	NA	NA
lane121s003972_bin.2.s_NODE_6_length_12053_cov_3.093854	12053	No terminal repeats	13	11	0.9988	0.0010	0	2.9639	NA	NA
lane122s000517_bin.2.s_NODE_8_length_245244_cov_72.634833	245244	No terminal repeats	230	11	0.9988	0.0010	10	15.4898	T_virB6;virb4;T_virB3;T_virB2;T_virB11;T_virB6;T_virB9;T_virB8	NF033105;NF000091;NF033088
lane821s003037_bin.1.p_NODE_29_length_32203_cov_11.081554	32203	No terminal repeats	31	11	0.9988	0.0010	3	19.4790	T_virB11	NA
lane121s003962_megahit_k141_1181-flag=1-multi=5.0000-len=2674	2674	No terminal repeats	4	11	0.9988	0.0010	0	1.9413	NA	NA
lane121s003980_megahit_k141_44-flag=0-multi=165.9732-len=80319	80319	No terminal repeats	84	11	0.9988	0.0010	0	6.8336	NA	NF000098;NF012176;NF033134
lane121s003978_shovill_contig00019	102104	No terminal repeats	102	11	0.9987	0.0010	0	13.1600	NA	NF012212
lane821s003044_shovill_contig00003	343298	No terminal repeats	332	11	0.9987	0.0010	0	29.9096	NA	NF000091;NF012174;NF038208
lane122s000520_bin.1.p_NODE_68_length_18324_cov_16.341645	18324	No terminal repeats	18	11	0.9987	0.0010	0	5.1109	NA	NA
lane122s000541_shovill_contig00025	48701	No terminal repeats	45	11	0.9987	0.0010	0	7.1471	NA	NF012212;NF033134
lane122s000520_bin.1.p_NODE_8_length_149207_cov_28.967458	149207	No terminal repeats	135	11	0.9987	0.0010	0	17.6988	T_virB9	NF000270
lane122s000523_bin.1.p_NODE_7_length_273021_cov_101.809884	273021	No terminal repeats	256	11	0.9987	0.0010	1	16.5917	NA	NF000496;NF000098;NF000496;NF000272
lane122s000532_bin.1.p_NODE_7_length_141729_cov_123.739333	141729	No terminal repeats	133	11	0.9987	0.0010	0	6.9188	NA	NF000493;NF033135;NF033117;NF000402;NF000496;NF000496
lane821s003044_shovill_contig00007	273533	No terminal repeats	257	11	0.9987	0.0010	1	17.5517	NA	NF000496;NF000098;NF000496;NF000272
lane122s000523_bin.1.p_NODE_41_length_45210_cov_108.897791	45210	No terminal repeats	41	11	0.9987	0.0010	0	5.6500	NA	NA
lane122s000607_bin.1.p_NODE_1268_length_2283_cov_1.396192	2283	No terminal repeats	2	11	0.9987	0.0010	1	1.4894	MOBQ	NA
lane122s000519_bin.3.s_NODE_8_length_245290_cov_68.126914	245290	No terminal repeats	229	11	0.9987	0.0010	10	15.4898	T_virB8;T_virB9;T_virB6;T_virB11;T_virB2;T_virB3;virb4;T_virB6	NF033088;NF000091;NF033105
lane121s003971_bin.1.s_NODE_18_length_21937_cov_103.460567	21937	No terminal repeats	18	11	0.9987	0.0010	0	9.0101	NA	NA
lane122s000523_bin.1.p_NODE_4_length_342622_cov_117.490184	342622	No terminal repeats	330	11	0.9987	0.0010	0	29.9096	NA	NF038208;NF012174;NF000091
lane121s003962_megahit_k141_1278-flag=1-multi=4.7611-len=11973	11973	No terminal repeats	19	11	0.9987	0.0010	0	3.8274	NA	NA
lane122s000524_shovill_contig00022	25061	No terminal repeats	23	11	0.9987	0.0010	0	3.0611	NA	NA
lane821s003044_shovill_contig00071	16486	No terminal repeats	20	11	0.9987	0.0010	0	5.0566	NA	NA
lane122s000523_bin.1.p_NODE_91_length_5279_cov_97.622261	5279	No terminal repeats	10	11	0.9987	0.0010	0	1.5506	NA	NA
lane122s000523_bin.1.p_NODE_5_length_315243_cov_102.886720	315243	No terminal repeats	271	11	0.9987	0.0010	0	7.9688	NA	NF000270;NF033476;NF033085
lane121s003965_shovill_contig00016	89374	No terminal repeats	76	11	0.9987	0.0010	0	4.3710	NA	NF033105
lane821s003037_bin.1.p_NODE_35_length_17218_cov_9.758474	17218	No terminal repeats	17	11	0.9987	0.0010	0	7.7957	NA	NA
lane122s000538_bin.1.p_NODE_33_length_7405_cov_89.587473	7405	No terminal repeats	12	11	0.9987	0.0010	0	1.0560	NA	NA
lane122s000602_bin.1.o_k141_441370-flag_1-multi_4.0000-len_4460	4460	No terminal repeats	7	11	0.9987	0.0010	0	1.8147	NA	NA
lane121s003968_megahit_k141_45-flag=0-multi=311.6255-len=15337	15337	No terminal repeats	15	11	0.9987	0.0010	0	3.1061	NA	NA
lane121s003965_shovill_contig00030	34403	No terminal repeats	36	11	0.9987	0.0010	0	6.6637	NA	NA
lane122s000523_bin.1.p_NODE_100_length_2721_cov_504.470499	2721	No terminal repeats	3	11	0.9987	0.0010	0	3.3035	NA	NA
lane821s003044_shovill_contig00097	5347	No terminal repeats	9	11	0.9987	0.0010	0	1.5506	NA	NA
lane121s003962_megahit_k141_1541-flag=1-multi=4.0000-len=2660	2660	No terminal repeats	3	11	0.9986	0.0010	0	1.7183	NA	NA
lane122s000523_bin.1.p_NODE_15_length_125795_cov_116.092994	125795	No terminal repeats	126	11	0.9986	0.0010	0	10.1013	NA	NA
lane821s003035_bin.1.p_NODE_17_length_31553_cov_1613.465243	31553	No terminal repeats	27	11	0.9986	0.0010	0	6.9162	NA	NF000005;NF000402
lane121s003972_bin.2.s_NODE_300_length_3323_cov_2.611522	3323	No terminal repeats	4	11	0.9986	0.0010	0	3.4755	NA	NA
lane121s003979_bin.1.s_NODE_44_length_5689_cov_97.317712	5689	No terminal repeats	5	11	0.9986	0.0010	0	1.7276	NA	NA
lane122s000541_shovill_contig00021	62815	No terminal repeats	71	11	0.9986	0.0010	0	13.9956	NA	NF012174
lane121s003962_megahit_k141_1336-flag=1-multi=7.0000-len=8335	8335	No terminal repeats	5	11	0.9986	0.0010	0	3.6385	NA	NA
lane121s003962_megahit_k141_1494-flag=1-multi=4.0000-len=3850	3850	No terminal repeats	7	11	0.9986	0.0010	0	3.7886	NA	NA
lane122s000523_bin.1.p_NODE_66_length_17649_cov_106.782381	17649	No terminal repeats	14	11	0.9986	0.0010	0	3.8929	NA	NA
lane821s003035_bin.1.p_NODE_35_length_9498_cov_70.743021	9498	No terminal repeats	9	11	0.9986	0.0011	0	3.2683	NA	NA
lane121s003972_bin.2.s_NODE_332_length_3125_cov_2.679790	3125	No terminal repeats	2	11	0.9986	0.0011	0	1.5166	NA	NA
lane121s003968_megahit_k141_136-flag=1-multi=241.9375-len=46390	46390	No terminal repeats	40	11	0.9986	0.0011	0	5.9208	NA	NF033134;NF012212
lane821s003044_shovill_contig00004	315627	No terminal repeats	271	11	0.9986	0.0011	0	7.9688	NA	NF033085;NF033476;NF000270
lane122s000531_bin.1.o_k141_67-flag_0-multi_188.1597-len_88946	88946	No terminal repeats	78	11	0.9986	0.0011	0	1.8199	NA	NF000496
lane122s000520_bin.1.p_NODE_59_length_24739_cov_16.252088	24739	No terminal repeats	25	11	0.9986	0.0011	0	2.2564	NA	NA
lane121s003980_megahit_k141_84-flag=0-multi=151.8221-len=17965	17965	No terminal repeats	16	11	0.9986	0.0011	0	5.4782	NA	NA
lane122s000601_bin.6.o_k141_338880-flag_1-multi_4.0000-len_6040	6040	No terminal repeats	7	11	0.9985	0.0011	0	0.3401	NA	NA
lane122s000601_bin.4.o_k141_656911-flag_1-multi_6.0000-len_12943	12943	No terminal repeats	13	11	0.9985	0.0011	3	4.9552	T_virB10;T_virB9;T_virB8	NA
lane122s000520_bin.1.p_NODE_4_length_189381_cov_22.077283	189381	No terminal repeats	163	11	0.9985	0.0011	0	17.8613	T_virB9	NA
lane122s000520_bin.1.p_NODE_49_length_34757_cov_9.591897	34757	No terminal repeats	34	11	0.9985	0.0011	0	4.8185	NA	NF033135
lane121s003979_bin.1.s_NODE_18_length_80970_cov_102.082591	80970	No terminal repeats	83	11	0.9985	0.0011	0	6.8336	NA	NF000098;NF012176;NF033134
lane121s003972_bin.2.s_NODE_195_length_4073_cov_2.868869	4073	No terminal repeats	5	11	0.9985	0.0011	0	1.8889	NA	NA
lane121s003972_bin.2.s_NODE_179_length_4271_cov_3.019313	4271	No terminal repeats	3	11	0.9985	0.0011	0	2.5105	NA	NA
lane121s003962_megahit_k141_1206-flag=0-multi=7.0000-len=1956	1956	No terminal repeats	3	11	0.9985	0.0011	1	2.8723	NA	NA
lane121s003995_shovill_contig00031	41059	No terminal repeats	40	11	0.9985	0.0011	0	2.5539	NA	NA
lane121s003978_shovill_contig00031	31291	No terminal repeats	31	11	0.9985	0.0011	0	0.5588	NA	NF000402
lane821s003044_shovill_contig00069	17717	No terminal repeats	14	11	0.9985	0.0011	0	3.8929	NA	NA
lane121s003972_bin.2.s_NODE_84_length_5716_cov_3.056570	5716	No terminal repeats	6	11	0.9985	0.0011	0	1.3759	NA	NA
lane122s000538_bin.1.p_NODE_43_length_2590_cov_16.853164	2590	No terminal repeats	4	11	0.9985	0.0011	0	2.1332	NA	NA
lane122s000523_bin.1.p_NODE_76_length_11915_cov_96.575182	11915	No terminal repeats	11	11	0.9985	0.0011	0	1.5760	NA	NA
lane122s000602_bin.1.o_k141_163051-flag_0-multi_5.5348-len_5752	5752	No terminal repeats	6	11	0.9985	0.0011	1	5.0747	NA	NA
lane121s003978_shovill_contig00020	87015	No terminal repeats	76	11	0.9985	0.0011	0	10.7958	NA	NF000402
lane121s003978_shovill_contig00044	10667	No terminal repeats	7	11	0.9985	0.0011	1	3.3284	FA_orf13	NA
lane122s000602_bin.1.o_k141_52388-flag_1-multi_12.0000-len_2551	2551	No terminal repeats	4	11	0.9985	0.0011	0	1.1362	NA	NA
lane121s003968_megahit_k141_108-flag=0-multi=258.8355-len=37780	37780	No terminal repeats	19	11	0.9985	0.0011	0	3.6994	NA	NA
lane121s003979_bin.1.s_NODE_42_length_7109_cov_228.784272	7109	No terminal repeats	5	11	0.9985	0.0011	0	0.7066	NA	NA
lane121s003962_megahit_k141_1026-flag=1-multi=6.0000-len=4300	4300	No terminal repeats	5	11	0.9984	0.0011	0	0.8942	NA	NA
lane121s003962_megahit_k141_1706-flag=1-multi=4.8552-len=6265	6265	No terminal repeats	8	11	0.9984	0.0011	0	1.1516	NA	NA
lane122s000602_bin.1.o_k141_605537-flag_1-multi_9.0000-len_7217	7217	No terminal repeats	8	11	0.9984	0.0011	0	3.3798	NA	NA
lane122s000602_bin.1.o_k141_674060-flag_0-multi_8.1954-len_3375	3375	No terminal repeats	5	11	0.9984	0.0011	0	0.9973	NA	NA
lane821s003044_shovill_contig00082	11935	No terminal repeats	11	11	0.9984	0.0011	0	1.5760	NA	NA
lane121s003952_megahit_k141_121-flag=0-multi=412.9844-len=9901	9901	No terminal repeats	7	11	0.9984	0.0011	0	1.7998	NA	NA
lane121s003995_shovill_contig00051	4922	No terminal repeats	9	11	0.9984	0.0011	0	2.1644	NA	NA
lane121s003979_bin.1.s_NODE_33_length_17753_cov_100.965603	17753	No terminal repeats	15	11	0.9984	0.0011	0	5.4782	NA	NA
lane122s000540_bin.1.p_NODE_156_length_2934_cov_9.258663	2934	No terminal repeats	4	11	0.9984	0.0011	0	1.6043	NA	NA
lane122s000521_bin.2.p_NODE_21_length_95926_cov_10.352690	95926	No terminal repeats	83	11	0.9984	0.0011	0	6.6972	T_virB9	NF033105
lane122s000522_shovill_contig00021	51697	No terminal repeats	30	11	0.9984	0.0011	0	11.0288	NA	NA
lane121s003960_shovill_contig00068	14971	No terminal repeats	11	11	0.9984	0.0011	0	1.1175	NA	NA
lane122s000529_megahit_k141_638-flag=1-multi=8.0000-len=3915	3915	No terminal repeats	5	11	0.9983	0.0011	0	1.5068	NA	NA
lane122s000520_bin.1.p_NODE_99_length_7467_cov_6.692693	7467	No terminal repeats	14	11	0.9983	0.0011	0	3.6104	NA	NA
lane821s003035_bin.1.p_NODE_41_length_7682_cov_164.634057	7682	No terminal repeats	7	11	0.9983	0.0011	0	2.6027	NA	NA
lane821s003044_shovill_contig00039	51052	No terminal repeats	51	11	0.9983	0.0011	0	8.7483	NA	NA
lane821s003035_bin.1.p_NODE_55_length_3073_cov_374.385180	3073	No terminal repeats	7	11	0.9983	0.0011	0	1.3878	NA	NA
lane121s003968_megahit_k141_156-flag=0-multi=126.9067-len=2929	2929	No terminal repeats	5	11	0.9983	0.0011	0	1.0200	NA	NA
lane121s003962_megahit_k141_142-flag=1-multi=6.0000-len=2799	2799	No terminal repeats	2	11	0.9983	0.0011	0	1.6895	NA	NA
lane121s003978_shovill_contig00029	42459	ITR	49	11	0.9983	0.0011	0	4.9590	NA	NA
lane821s003044_shovill_contig00067	22159	No terminal repeats	19	11	0.9983	0.0011	0	3.7960	NA	NA
lane121s003979_bin.1.s_NODE_32_length_21558_cov_99.160002	21558	No terminal repeats	22	11	0.9983	0.0011	0	5.3571	NA	NA
lane122s000601_bin.7.o_k141_402830-flag_1-multi_3.0000-len_2572	2572	No terminal repeats	3	11	0.9983	0.0011	0	3.0867	NA	NA
lane122s000541_shovill_contig00035	14658	No terminal repeats	11	11	0.9982	0.0011	0	0.2424	NA	NA
lane121s003962_megahit_k141_1175-flag=1-multi=6.0000-len=6442	6442	No terminal repeats	8	11	0.9982	0.0011	0	2.0258	NA	NA
lane122s000530_shovill_contig00045	2522	No terminal repeats	4	11	0.9982	0.0011	1	2.9794	NA	NA
lane122s000521_bin.2.p_NODE_31_length_29940_cov_11.044168	29940	No terminal repeats	32	11	0.9982	0.0011	0	2.5071	NA	NF000272;NF033105
lane122s000536_megahit_k141_0-flag=1-multi=183.9736-len=166686	166686	No terminal repeats	137	11	0.9982	0.0011	0	11.3841	T_virB9	NF033156;NF000496;NF000272;NF012174
lane121s003958_shovill_contig00027	54758	No terminal repeats	48	11	0.9982	0.0011	0	7.7114	NA	NA
lane121s003952_megahit_k141_68-flag=0-multi=239.6988-len=9662	9662	No terminal repeats	12	11	0.9982	0.0011	0	2.5051	NA	NA
lane122s000602_bin.1.o_k141_79309-flag_0-multi_7.8579-len_12062	12062	No terminal repeats	16	11	0.9982	0.0011	0	3.1394	NA	NA
lane122s000520_bin.1.p_NODE_5_length_188628_cov_32.334965	188628	No terminal repeats	149	11	0.9982	0.0011	0	9.9240	NA	NF000272;NF033135
lane122s000540_bin.1.p_NODE_139_length_7958_cov_88.279152	7958	No terminal repeats	8	11	0.9981	0.0011	0	2.5384	NA	NA
lane821s003035_bin.1.p_NODE_42_length_7347_cov_72.441678	7347	No terminal repeats	7	11	0.9981	0.0011	0	1.5987	NA	NA
lane122s000521_bin.1.s_NODE_24_length_66400_cov_127.865311	66400	No terminal repeats	67	11	0.9981	0.0011	1	6.1650	NA	NF012212;NF033103;NF000051;NF000493
lane122s000520_bin.1.p_NODE_89_length_11369_cov_12.448990	11369	No terminal repeats	14	11	0.9981	0.0012	0	3.9158	NA	NA
lane121s003965_shovill_contig00041	15743	No terminal repeats	13	11	0.9981	0.0012	0	0.7294	NA	NA
lane821s003044_shovill_contig00078	13148	No terminal repeats	15	11	0.9981	0.0012	0	0.9004	NA	NA
lane122s000607_bin.1.p_NODE_997_length_2664_cov_1.928102	2664	No terminal repeats	3	11	0.9980	0.0012	1	1.0515	NA	NA
lane122s000523_bin.1.p_NODE_42_length_44531_cov_96.735007	44531	No terminal repeats	44	11	0.9980	0.0012	0	9.0039	NA	NA
lane122s000605_bin.3.p_NODE_700_length_2902_cov_1.133097	2902	No terminal repeats	5	11	0.9980	0.0012	1	1.4894	MOBQ	NA
lane121s003952_megahit_k141_22-flag=0-multi=392.8070-len=24518	24518	No terminal repeats	29	11	0.9980	0.0012	0	4.8639	NA	NA
lane122s000520_bin.1.p_NODE_56_length_27632_cov_11.543350	27632	No terminal repeats	29	11	0.9980	0.0012	0	4.5444	NA	NA
lane122s000523_bin.1.p_NODE_101_length_2678_cov_676.625913	2678	No terminal repeats	3	11	0.9980	0.0012	0	2.4068	NA	NA
lane122s000517_bin.2.s_NODE_17_length_21415_cov_74.173025	21415	No terminal repeats	20	11	0.9980	0.0012	0	3.5040	NA	NF012174
lane122s000601_bin.6.o_k141_256296-flag_1-multi_4.0000-len_4782	4782	No terminal repeats	5	11	0.9980	0.0012	0	1.6454	NA	NA
lane121s003995_shovill_contig00041	18329	No terminal repeats	13	11	0.9980	0.0012	0	2.8365	NA	NA
lane122s000602_bin.1.o_k141_62126-flag_0-multi_9.0000-len_8328	8328	No terminal repeats	14	11	0.9979	0.0012	0	2.0852	NA	NA
lane121s003965_shovill_contig00033	29472	No terminal repeats	30	11	0.9979	0.0012	0	7.1229	NA	NA
lane122s000536_megahit_k141_172-flag=0-multi=206.8666-len=37215	37215	No terminal repeats	38	11	0.9979	0.0012	0	5.4475	NA	NA
lane121s003962_megahit_k141_606-flag=1-multi=7.0000-len=2758	2758	No terminal repeats	2	11	0.9979	0.0012	0	1.0456	NA	NA
lane122s000520_bin.1.p_NODE_121_length_2868_cov_4.820494	2868	No terminal repeats	5	11	0.9979	0.0012	0	1.0324	NA	NA
lane121s003962_megahit_k141_1372-flag=1-multi=4.0000-len=7344	7344	No terminal repeats	10	11	0.9978	0.0012	0	1.9978	NA	NA
lane122s000520_bin.1.p_NODE_95_length_9566_cov_6.256613	9566	No terminal repeats	8	11	0.9978	0.0012	0	1.2433	NA	NA
lane122s000607_bin.1.p_NODE_1378_length_2179_cov_2.036632	2179	No terminal repeats	4	11	0.9978	0.0012	1	1.4894	MOBQ	NA
lane122s000536_megahit_k141_149-flag=0-multi=191.9709-len=157812	157812	No terminal repeats	141	11	0.9978	0.0012	0	8.9389	NA	NF000402;NF033145;NF033087
lane821s003044_shovill_contig00047	41115	No terminal repeats	40	11	0.9977	0.0012	0	0.6213	NA	NA
lane121s003952_megahit_k141_89-flag=0-multi=433.9045-len=5123	5123	No terminal repeats	5	11	0.9977	0.0012	0	1.4867	NA	NA
lane122s000607_bin.1.p_NODE_700_length_3286_cov_4.862886	3286	No terminal repeats	4	11	0.9976	0.0012	2	2.4640	MOBQ;T_virB10	NA
lane122s000538_bin.1.p_NODE_47_length_2255_cov_54.224977	2255	No terminal repeats	4	11	0.9976	0.0012	1	0.9349	NA	NA
lane121s003962_megahit_k141_119-flag=1-multi=7.0000-len=24271	24271	No terminal repeats	22	11	0.9976	0.0012	0	4.0984	NA	NA
lane121s003968_megahit_k141_138-flag=0-multi=250.5092-len=12367	12367	No terminal repeats	13	11	0.9976	0.0012	0	2.3661	NA	NA
lane122s000540_bin.1.p_NODE_88_length_24769_cov_16.541835	24769	No terminal repeats	25	11	0.9976	0.0012	0	3.0161	NA	NA
lane122s000601_bin.6.o_k141_284356-flag_1-multi_5.0000-len_35176	35176	No terminal repeats	26	11	0.9975	0.0012	1	3.9170	NA	NA
lane121s003962_megahit_k141_352-flag=1-multi=6.0000-len=6294	6294	No terminal repeats	5	11	0.9975	0.0012	0	1.5386	NA	NA
lane121s003968_megahit_k141_118-flag=0-multi=235.7007-len=19003	19003	No terminal repeats	18	11	0.9975	0.0012	0	3.2354	NA	NA
lane121s003972_bin.2.s_NODE_348_length_3068_cov_2.146439	3068	No terminal repeats	6	11	0.9975	0.0012	0	1.7712	NA	NA
lane121s003968_megahit_k141_49-flag=0-multi=243.5970-len=7377	7377	No terminal repeats	13	11	0.9974	0.0012	0	0.7757	NA	NA
lane122s000601_bin.6.o_k141_128074-flag_1-multi_3.0000-len_2950	2950	No terminal repeats	5	11	0.9974	0.0012	0	0.4378	NA	NA
lane122s000529_megahit_k141_378-flag=1-multi=6.0000-len=2732	2732	No terminal repeats	2	11	0.9974	0.0012	0	1.2611	NA	NA
lane121s003978_shovill_contig00037	19796	No terminal repeats	21	11	0.9973	0.0012	0	2.8342	NA	NA
lane121s003995_shovill_contig00043	16489	No terminal repeats	23	11	0.9973	0.0013	0	3.7748	NA	NF033135
lane821s003035_bin.1.p_NODE_33_length_11327_cov_82.865156	11327	No terminal repeats	10	11	0.9973	0.0013	0	0.8076	NA	NA
lane122s000540_bin.1.p_NODE_128_length_12176_cov_16.544508	12176	No terminal repeats	13	11	0.9973	0.0013	0	4.4708	NA	NA
lane122s000602_bin.1.o_k141_456244-flag_0-multi_6.9605-len_3788	3788	No terminal repeats	4	11	0.9972	0.0013	0	1.2924	NA	NA
lane122s000519_bin.3.s_NODE_18_length_21567_cov_67.438948	21567	No terminal repeats	20	11	0.9972	0.0013	0	3.5040	NA	NF012174
lane122s000538_bin.1.p_NODE_184_length_573_cov_11.197581	573	No terminal repeats	1	11	0.9972	0.0013	1	1.6654	MOBP2	NA
lane121s003962_megahit_k141_533-flag=1-multi=5.0000-len=4092	4092	No terminal repeats	4	11	0.9971	0.0013	0	3.4366	NA	NA
lane121s003962_megahit_k141_1021-flag=1-multi=5.0000-len=10907	10907	No terminal repeats	12	11	0.9971	0.0013	0	2.9235	NA	NA
lane121s003968_megahit_k141_44-flag=0-multi=207.5636-len=11526	11526	No terminal repeats	15	11	0.9971	0.0013	0	1.0685	NA	NF033074;NF000051
lane121s003952_megahit_k141_91-flag=0-multi=229.7186-len=24965	24965	No terminal repeats	25	11	0.9970	0.0013	0	3.2354	NA	NA
lane121s003960_shovill_contig00040	42561	ITR	46	11	0.9970	0.0013	0	2.6496	NA	NA
lane121s003952_megahit_k141_78-flag=0-multi=221.3847-len=4451	4451	No terminal repeats	3	11	0.9970	0.0013	0	2.2414	NA	NA
lane122s000520_bin.1.p_NODE_69_length_18248_cov_8.903803	18248	No terminal repeats	22	11	0.9969	0.0013	0	4.4694	NA	NA
lane122s000605_bin.3.p_NODE_909_length_2421_cov_1.943259	2421	No terminal repeats	4	11	0.9969	0.0013	2	2.4915	MOBQ;T_virB10	NA
